發生時間,處理別,肇事地點,座標-X,座標-Y
2021/1/4 12:28,2,信義區基隆路1段與松壽路口,121.5615358,25.03588964
2021/1/4 12:42,2,信義區忠孝東路4段與逸仙路口,121.5614487,25.04114115
2021/1/4 13:05,2,文山區和平東路4段與和平東路4段65巷口,121.5668695,25.00569556
2021/1/4 13:34,2,文山區興隆路3段與萬芳路口,121.5599737,24.996709
2021/1/4 13:40,2,松山區健康路225巷與延壽街330巷17弄口,121.5623398,25.05489924
2021/1/4 13:40,2,文山區老泉街河堤路燈039號,121.5589841,24.97927164
2021/1/4 13:46,2,萬華區桂林路242巷與環河南路1段348巷口,121.4960657,25.03881698
2021/1/4 14:45,2,北投區大度路3段與中央北路4段口,121.4644347,25.12385447
2021/1/4 15:05,2,中正區中山南路與信義路1段口,121.5179423,25.03858698
2021/1/4 15:10,2,內湖區瑞光路與瑞光路513巷口,121.5695046,25.07886783
2021/1/4 15:13,2,文山區老泉街堤外便道往新店方向G10408104097號燈桿,121.5589751,24.97926596
2021/1/4 15:20,2,內湖區民權東路6段與民權東路6段210巷口口,121.5977371,25.06734893
2021/1/4 15:20,2,北投區致遠一路2段與致遠一路2段35巷口,121.5140045,25.11157552
2021/1/4 16:15,2,文山區興隆路2段224-3號,121.5533606,25.00119815
2021/1/4 16:32,2,北投區石牌路2段201號與立農街2段口,121.5190216,25.11879453
2021/1/4 16:56,2,大安區敦化南路1段146號,121.5486524,25.04388088
2021/1/4 17:02,2,中山區民生東路3段與合江街口,121.5392113,25.05797232
2021/1/4 17:20,2,內湖區東湖路與東湖路7巷口,121.6127271,25.06890196
2021/1/4 17:30,2,松山區八德路4段580號市民大道側,121.5717271,25.04949172
2021/1/4 17:30,2,中山區民生東路2段142號,121.5322069,25.05794905
2021/1/4 17:33,2,大同區重慶北路2段與歸綏街口,121.5135639,25.05831187
2021/1/4 18:15,2,松山區富錦街與民生東路5段137巷口,121.5613891,25.06079013
2021/1/4 18:30,2,中山區長安東路2段與吉林路1段口,121.5300241,25.04852398
2021/1/4 18:37,2,萬華區萬大路與長泰街口,121.4994832,25.02267324
2021/1/4 18:50,2,松山區民權東路3段與敦化北路口,121.550766,25.06145782
2021/1/4 18:52,2,內湖區堤頂大道2段407巷26號對面,121.5638723,25.08089145
2021/1/4 19:00,2,文山區興隆路3段192巷8弄與興隆路3段192巷口,121.5583387,24.99749117
2021/1/4 19:10,2,文山區景興路202巷206號對面,121.5436287,24.99169334
2021/1/4 19:20,2,內湖區民權東路6段15巷與瑞湖街口口,121.5764746,25.06898498
2021/1/4 19:29,2,文山區木柵路4段24號對面,121.5733604,24.99716242
2021/1/4 19:30,2,大安區敦化南路1段238巷與敦化南路1段252巷口,121.5482349,25.03975549
2021/1/4 19:35,2,大安區忠孝東路4段216巷27弄與忠孝東路4段216巷口,121.5529445,25.03984569
2021/1/4 19:44,2,萬華區堤外便道機車道近龍山忠孝3-03燈桿,121.5043121,25.04790462
2021/1/4 19:47,2,文山區指南路2段與新光路1段口,121.5738906,24.98802058
2021/1/4 19:48,2,內湖區新明路298巷與南京東路6段口,121.5815712,25.05676364
2021/1/4 20:11,2,北投區行義路與行義路186巷口,121.5286115,25.13273163
2021/1/4 20:17,2,文山區指南路2段與萬壽路口,121.5755566,24.98771849
2021/1/4 20:22,2,士林區重慶北路4段44號,121.5133438,25.08104705
2021/1/4 20:54,2,信義區基隆路1段與永吉路口,121.5671753,25.04572847
2021/1/4 21:04,1,士林區大東路90-2號前,121.5255581,25.091478
2021/1/4 21:20,2,內湖區成功路2段325號與成功路2段口,121.589789,25.07173983
2021/1/4 21:21,2,中山區北安路588巷46弄與北安路588巷口,121.5509107,25.08103706
2021/1/4 21:21,2,南港區市民大道7段與中坡北路口,121.580248,25.04882013
2021/1/4 21:21,2,北投區承德路6段153號停車格,121.5117648,25.1086906
2021/1/4 21:25,2,中山區龍江路與民權東路3段口,121.5410314,25.06244334
2021/1/4 21:28,2,士林區中山北路5段與劍潭路口,121.5253615,25.0840092
2021/1/4 21:35,2,松山區民生東路5段214號,121.5650123,25.05894182
2021/1/4 21:40,2,大安區基隆路4段與羅斯福路4段口台大停車場,121.5384489,25.0124238
2021/1/4 21:43,2,信義區忠孝東路4段400號,121.5579964,25.04127403
2021/1/4 22:31,2,士林區延平北路5段與延平北路5段136巷口,121.5102964,25.08210022
2021/1/4 23:00,2,中正區市民大道2段與林森北路口口,121.5242347,25.04767246
2021/1/4 23:00,2,信義區松隆路與松隆路159巷口,121.5727471,25.0472857
2021/1/4 23:05,2,大同區鄭州路與西寧北路口,121.5081978,25.05067776
2021/1/4 23:14,2,中山區自強隧道往內湖方向,121.550112,25.08514527
2021/1/4 23:30,2,松山區民權東路3段與民族東路口,121.5499344,25.06174958
2021/1/4 23:30,2,信義區中坡北路與永吉路口,121.5806391,25.0453021
2021/1/4 23:45,2,文山區辛亥路5段與辛亥路5段25巷口,121.5540264,24.99982047
2021/1/5 00:25,2,南港區舊莊街1段3巷與大坑街口,121.619132,25.04320733
2021/1/5 01:21,2,北投區石牌路2段201號榮總立體停車場出口,121.5217767,25.11924952
2021/1/5 02:10,2,中山區長春路與遼寧街口,121.5421061,25.0546247
2021/1/5 02:47,2,萬華區康定路314號,121.5013152,25.03589801
